Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-02-18,0.004,0.021,0.029,0.392,27.542,14.917,49.72,Good,101,Jongno-gu,37.5720164,127.0050075
2017-02-19,0.004,0.038,0.018,0.562,40.75,27.042,79.48,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-20,0.003,0.018,0.032,0.375,37.167,19.333,59.6,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-21,0.004,0.048,0.013,0.671,41.75,28.083,82.16,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-22,0.003,0.045,0.008,0.646,35.958,28.458,83.13,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-23,0.004,0.017,0.035,0.375,31.875,20.25,61.96,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-24,0.005,0.033,0.025,0.458,27.0,16.083,54.38,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-25,0.005,0.043,0.018,0.658,44.75,30.875,89.36,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-26,0.004,0.029,0.025,0.571,44.0,31.625,91.3,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-27,0.004,0.045,0.015,0.638,32.667,20.583,74.66,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-02-28,0.006,0.057,0.014,0.779,40.042,27.875,94.93,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-01,0.006,0.05,0.021,0.654,56.417,44.875,134.91,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-02,0.003,0.021,0.031,0.408,32.625,22.5,67.76,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-03,0.007,0.042,0.018,0.817,42.958,31.042,89.79,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-04,0.005,0.052,0.016,0.846,50.042,36.333,102.27,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-05,0.004,0.039,0.029,0.729,62.958,51.375,159.74,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-06,0.004,0.018,0.034,0.475,32.75,25.167,74.64,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-07,0.004,0.017,0.036,0.429,29.167,18.917,58.52,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-08,0.004,0.026,0.029,0.554,37.958,17.583,57.96,Moderate,101,Jongno-gu,37.5720164,127.0050075
